Model,MSE,RMSE,R2 Score,CV Mean R2
Linear Regression,5.908920237934364,2.4308270687020013,0.7118309379790239,0.7817658465751027
Ridge Regression,5.78011985473382,2.404187982403585,0.7181123369690732,0.784746580624803
